"","HGNC.ID"
"740","HGNC:31988"
"741","HGNC:27637"
"742","HGNC:26400"
"743","HGNC:25512"
"744","HGNC:26668"
"745","HGNC:11446"
"746","HGNC:28398"
"747","HGNC:29675"
"748","HGNC:29141"
"749","HGNC:30187"
"750","HGNC:32331"
"751","HGNC:29618"
"752","HGNC:3231"
"753","HGNC:24472"
"754","HGNC:30434"
"755","HGNC:11186"
"756","HGNC:9534"
"757","HGNC:27638"
"758","HGNC:28713"
"759","HGNC:26804"
"760","HGNC:20824"
"761","HGNC:13300"
"762","HGNC:4636"
"763","HGNC:4634"
"764","HGNC:4632"
"765","HGNC:4637"
"766","HGNC:4635"
"767","HGNC:2432"
"768","HGNC:344"
"769","HGNC:25916"
"770","HGNC:32309"
"771","HGNC:6236"
"772","HGNC:14959"
"773","HGNC:10925"
"774","HGNC:17955"
"775","HGNC:18454"
"776","HGNC:6219"
"777","HGNC:6221"
"778","HGNC:1686"
"779","HGNC:30299"
"780","HGNC:24289"
"781","HGNC:26192"
"782","HGNC:1933"
"783","HGNC:17432"
"784","HGNC:27009"
"785","HGNC:8524"
"786","HGNC:29652"
"787","HGNC:840"
"788","HGNC:28344"
"789","HGNC:268"
"790","HGNC:28045"
"791","HGNC:2743"
"792","HGNC:25330"
"793","HGNC:12781"
"794","HGNC:18441"
"795","HGNC:1488"
"796","HGNC:7200"
"797","HGNC:669"
"798","HGNC:20785"
"799","HGNC:21590"
"800","HGNC:29647"
"801","HGNC:8939"
"802","HGNC:25642"
"803","HGNC:33624"
"804","HGNC:17641"
"805","HGNC:19006"
"806","HGNC:24956"
"807","HGNC:18638"
"808","HGNC:16290"
"809","HGNC:975"
"810","HGNC:24748"
"811","HGNC:29905"
"812","HGNC:26119"
"813","HGNC:11487"
"814","HGNC:20659"
"815","HGNC:7818"
"816","HGNC:20301"
"817","HGNC:26787"
"818","HGNC:799"
"819","HGNC:1688"
"820","HGNC:1639"
"821","HGNC:9601"
"822","HGNC:5949"
"823","HGNC:12398"
"824","HGNC:19018"
"825","HGNC:28873"
"826","HGNC:6822"
"827","HGNC:24712"
"828","HGNC:18010"
"829","HGNC:12755"
"830","HGNC:26620"
"831","HGNC:4810"
"832","HGNC:5217"
"833","HGNC:32034"
"834","HGNC:22977"
"835","HGNC:208"
"836","HGNC:24805"
"837","HGNC:3614"
"838","HGNC:30584"
"839","HGNC:33996"
"840","HGNC:33593"
"841","HGNC:35237"
"842","HGNC:31991"
"843","HGNC:15580"
"844","HGNC:10700"
"845","HGNC:18012"
"846","HGNC:31862"
"847","HGNC:31992"
"848","HGNC:16952"
"849","HGNC:28466"
"850","HGNC:27639"
"851","HGNC:28715"
"852","HGNC:6135"
"853","HGNC:26323"
"854","HGNC:16861"
"855","HGNC:26618"
"856","HGNC:30076"
"857","HGNC:18154"
"858","HGNC:17013"
"859","HGNC:8821"
"860","HGNC:31984"
"861","HGNC:24297"
"862","HGNC:9379"
"863","HGNC:3773"
"864","HGNC:1916"
"865","HGNC:1008"
"866","HGNC:29609"
"867","HGNC:25232"
"868","HGNC:33998"
"869","HGNC:32000"
"870","HGNC:33997"
"871","HGNC:33999"
"872","HGNC:30602"
"873","HGNC:33995"
"874","HGNC:3613"
"875","HGNC:24700"
"876","HGNC:25311"
"877","HGNC:4794"
"878","HGNC:20503"
"879","HGNC:4736"
"880","HGNC:29668"
"881","HGNC:20505"
"882","HGNC:29607"
"883","HGNC:4760"
"884","HGNC:4738"
"885","HGNC:20508"
"886","HGNC:24263"
"887","HGNC:20566"
"888","HGNC:24307"
"889","HGNC:16683"
"890","HGNC:24310"
"891","HGNC:16673"
"892","HGNC:1372"
"893","HGNC:29509"
"894","HGNC:26258"
"895","HGNC:25200"
"896","HGNC:14046"
"897","HGNC:29039"
"898","HGNC:6943"
"899","HGNC:3360"
"900","HGNC:24882"
"901","HGNC:25245"
"902","HGNC:2545"
"903","HGNC:700"
"904","HGNC:10761"
"905","HGNC:14076"
"906","HGNC:547"
"907","HGNC:25648"
"908","HGNC:16976"
"909","HGNC:26045"
"910","HGNC:17719"
"911","HGNC:16997"
"912","HGNC:28441"
"913","HGNC:10740"
"914","HGNC:26277"
"915","HGNC:32070"
"916","HGNC:23136"
"917","HGNC:11874"
"918","HGNC:11644"
"919","HGNC:8994"
"920","HGNC:9561"
"921","HGNC:8984"
"922","HGNC:10719"
"923","HGNC:9541"
"924","HGNC:17429"
"925","HGNC:12422"
"926","HGNC:20073"
"927","HGNC:11967"
"928","HGNC:26686"
"929","HGNC:14277"
"930","HGNC:8097"
"931","HGNC:11713"
"932","HGNC:31814"
"933","HGNC:37210"
"934","HGNC:26755"
"935","HGNC:17947"
"936","HGNC:10487"
"937","HGNC:10488"
"938","HGNC:31796"
"939","HGNC:26809"
"940","HGNC:20846"
"941","HGNC:1230"
"942","HGNC:16614"
"943","HGNC:29875"
"944","HGNC:29463"
"945","HGNC:16615"
"946","HGNC:16612"
"947","HGNC:29462"
"948","HGNC:29461"
"949","HGNC:16518"
"950","HGNC:29460"
"951","HGNC:16610"
"952","HGNC:29469"
"953","HGNC:16613"
"954","HGNC:29468"
"955","HGNC:31823"
"956","HGNC:29467"
"957","HGNC:29466"
"958","HGNC:29465"
"959","HGNC:29464"
"960","HGNC:16611"
"961","HGNC:29459"
"962","HGNC:31824"
"963","HGNC:6962"
"964","HGNC:6187"
"965","HGNC:23173"
"966","HGNC:11259"
"967","HGNC:11268"
"968","HGNC:11260"
"969","HGNC:11264"
"970","HGNC:11261"
"971","HGNC:11262"
"972","HGNC:11265"
"973","HGNC:11266"
"974","HGNC:11267"
"975","HGNC:32046"
"976","HGNC:32057"
"977","HGNC:30014"
"978","HGNC:30015"
"979","HGNC:10499"
"980","HGNC:10489"
"981","HGNC:10498"
"982","HGNC:21657"
"983","HGNC:10497"
"984","HGNC:10496"
"985","HGNC:10495"
"986","HGNC:10494"
"987","HGNC:10493"
"988","HGNC:10492"
"989","HGNC:20441"
"990","HGNC:18901"
"991","HGNC:10490"
"992","HGNC:10486"
"993","HGNC:24511"
"994","HGNC:17145"
"995","HGNC:6037"
"996","HGNC:7943"
"997","HGNC:26153"
"998","HGNC:10997"
"999","HGNC:29044"
"1000","HGNC:27301"
"1001","HGNC:12876"
"1002","HGNC:18854"
"1003","HGNC:6201"
"1004","HGNC:9762"
"1005","HGNC:29915"
"1006","HGNC:32305"
"1007","HGNC:29876"
"1008","HGNC:29877"
"1009","HGNC:16029"
"1010","HGNC:13534"
"1011","HGNC:6019"
"1012","HGNC:27004"
"1013","HGNC:25316"
"1014","HGNC:15698"
"1015","HGNC:6292"
"1016","HGNC:21199"
"1017","HGNC:30257"
"1018","HGNC:10840"
"1019","HGNC:19083"
"1020","HGNC:14429"
"1021","HGNC:18668"
"1022","HGNC:26562"
"1023","HGNC:26539"
"1024","HGNC:193"
"1025","HGNC:3224"
"1026","HGNC:3223"
"1027","HGNC:3221"
"1028","HGNC:30657"
"1029","HGNC:28942"
"1030","HGNC:19019"
"1031","HGNC:11787"
"1032","HGNC:7504"
"1033","HGNC:1233"
"1034","HGNC:10565"
"1035","HGNC:2069"
"1036","HGNC:19183"
"1037","HGNC:17153"
"1038","HGNC:2673"
"1039","HGNC:25973"
"1040","HGNC:19239"
"1041","HGNC:29145"
"1042","HGNC:14666"
"1043","HGNC:11324"
"1044","HGNC:1237"
"1045","HGNC:18238"
"1046","HGNC:33482"
"1047","HGNC:29036"
"1048","HGNC:9112"
"1049","HGNC:1043"
"1050","HGNC:30132"
"1051","HGNC:24644"
"1052","HGNC:28196"
"1053","HGNC:29436"
"1054","HGNC:30666"
"1055","HGNC:1616"
"1056","HGNC:30636"
"1057","HGNC:14572"
"1058","HGNC:30780"
"1059","HGNC:6997"
"1060","HGNC:20669"
"1061","HGNC:32348"
"1062","HGNC:25982"
"1063","HGNC:17410"
"1064","HGNC:23059"
"1065","HGNC:7756"
"1066","HGNC:2339"
"1067","HGNC:25745"
"1068","HGNC:24273"
"1069","HGNC:14037"
"1070","HGNC:4856"
"1071","HGNC:10821"
"1072","HGNC:6093"
"1073","HGNC:33631"
"1074","HGNC:26556"
"1075","HGNC:14580"
"1076","HGNC:33834"
"1077","HGNC:3492"
"1078","HGNC:18508"
"1079","HGNC:18507"
"1080","HGNC:18506"
"1081","HGNC:14875"
"1082","HGNC:18509"
"1083","HGNC:1690"
"1084","HGNC:15734"
"1085","HGNC:1637"
"1086","HGNC:1634"
"1087","HGNC:1636"
"1088","HGNC:1635"
"1089","HGNC:1638"
"1090","HGNC:14816"
"1091","HGNC:14826"
"1092","HGNC:14693"
"1093","HGNC:14820"
"1094","HGNC:14823"
"1095","HGNC:15036"
"1096","HGNC:14995"
"1097","HGNC:14996"
"1098","HGNC:15029"
"1099","HGNC:15030"
"1100","HGNC:15033"
"1101","HGNC:15034"
"1102","HGNC:15035"
"1103","HGNC:7183"
"1104","HGNC:28894"
"1105","HGNC:5395"
"1106","HGNC:357"
"1107","HGNC:17601"
"1108","HGNC:4035"
"1109","HGNC:3609"
"1110","HGNC:14992"
"1111","HGNC:15408"
"1112","HGNC:8175"
"1113","HGNC:14993"
"1114","HGNC:584"
"1115","HGNC:2367"
"1116","HGNC:21480"
"1117","HGNC:31910"
"1118","HGNC:21391"
"1119","HGNC:32063"
"1120","HGNC:17229"
"1121","HGNC:11554"
"1122","HGNC:18132"
"1123","HGNC:18430"
"1124","HGNC:6270"
"1125","HGNC:17813"
"1126","HGNC:14073"
"1127","HGNC:8822"
"1128","HGNC:2230"
"1129","HGNC:7817"
"1130","HGNC:21392"
"1131","HGNC:1704"
"1132","HGNC:10903"
"1133","HGNC:1683"
"1134","HGNC:21394"
"1135","HGNC:6730"
"1136","HGNC:18171"
"1137","HGNC:18259"
"1138","HGNC:20599"
"1139","HGNC:14685"
"1140","HGNC:35410"
"1141","HGNC:12593"
"1142","HGNC:27414"
"1143","HGNC:28489"
"1144","HGNC:8867"
"1145","HGNC:7828"
"1146","HGNC:2755"
"1147","HGNC:12620"
"1148","HGNC:926"
"1149","HGNC:220"
"1150","HGNC:3611"
"1151","HGNC:601"
"1152","HGNC:25756"
